"","INDEX","TEAM_BATTING_H","TEAM_BATTING_2B","TEAM_BATTING_3B","TEAM_BATTING_HR","TEAM_BATTING_BB","TEAM_BATTING_SO","TEAM_BASERUN_SB","TEAM_BASERUN_CS","TEAM_BATTING_HBP","TEAM_PITCHING_H","TEAM_PITCHING_HR","TEAM_PITCHING_BB","TEAM_PITCHING_SO","TEAM_FIELDING_E","TEAM_FIELDING_DP"
"1",9,-1.72838314590129,-1.44034827095175,-0.844058081534428,-0.224262523149754,-0.430853318339101,1.52466854339858,-0.66071954280364,-0.100402972291291,NA,-0.363496642171069,-0.332091804983028,-0.609522690649205,0.441950759343419,-0.475304457498469,0.384138175210748
"2",10,-1.64873108235743,-1.82406166643429,-0.9914197553581,-0.1355033643848,0.141323218187471,0.903553431310615,-0.746383688019897,-0.576499271978315,NA,-0.35628039007043,-0.245368899668848,-0.210563601736194,0.203895251894242,-0.496958609563923,0.693210972557199
"3",14,-0.493776160971517,-1.17780752667422,-0.9914197553581,-0.0467442056198448,0.0832763231775287,0.438745433522935,-0.692843597259736,-0.230247417660479,NA,-0.25164473461116,-0.158645994354667,-0.251037712205629,0.0257477529422099,-0.406011170889018,0.268235876205829
"4",47,0.462048601554756,1.36681814863108,-0.9914197553581,1.12487669007756,-0.107449188997995,0.841853254613135,0.260170018271122,0.202567400236815,-1.6029292402886,-0.165049709403489,0.986096355792517,-0.384024075176633,0.180247353803265,-0.54459774410792,0.306869975874135
"5",60,-0.161892562872117,-0.773898689324172,0.445356564422699,-1.60890539988305,-3.3497828959819,-1.20659261174319,NA,NA,NA,1.25595060008073,-1.52886789831872,-1.70810568910532,0.509741400537555,1.58617081913271,-0.620348416165217
"6",63,-0.254819970339949,-0.107449107696595,-0.10724971241607,-1.52014624111809,-2.35469326724004,-1.36701307115663,NA,NA,NA,0.589048635113316,-1.4248004119417,-0.7656371167456,-0.100374370209672,1.39561428095672,-1.58620090787288
"7",74,-0.261457642301937,-0.450771619444135,-0.033568875504234,-1.04084678378734,0.572528723975612,-0.750011304181839,2.58380995726209,NA,NA,-0.162042937694889,-1.07790879068498,0.350291929054561,-0.363654302289224,1.04048618708328,NA
"8",83,-0.560152880591397,-1.68269357336178,-0.512494315431167,-1.1118541107993,-1.18546295346835,-0.412717004902283,0.65636668989631,NA,NA,-0.112731881673854,-1.09525337174782,-0.777201148308296,-0.13348142753704,0.338891660162585,-1.62483500754118
"9",98,-1.39649954780189,-1.29898017787923,0.813760748981878,-1.28937242832921,-0.273297460454973,-0.0836493958490588,0.281586054575186,NA,NA,-0.283516514722317,-1.33807750662752,-0.320421901581805,-0.103527423288469,-0.102853041972668,-0.543080216828605
"10",120,-0.480500817047541,-0.592139712516651,-0.512494315431167,-0.668058316974529,-0.389391250474857,-0.515550632731416,-0.767799724323961,NA,NA,-0.195117426489486,-0.696328007302587,-0.407152138302025,-0.280098395701103,-0.284747919322478,-0.0408369211406219
"11",123,-0.281370658187901,0.033918985375921,-0.586175152343003,-0.810072970998456,-0.0328174668423555,-0.285203306394159,-0.639303506499576,NA,NA,-0.187901174388847,-0.852429236868112,-0.181653522829454,-0.199695542191778,-0.215454632713026,1.42725886625502
"12",135,0.176628707189272,-0.0468627820940884,-0.033568875504234,1.21363584884251,-0.306467114746368,-0.1618029529992,-0.810631796932089,-1.05259557166534,NA,-0.144002307443291,1.22892049067222,-0.384024075176633,-0.149246692931026,-0.431996153367562,1.23408836791349
